natural name,meertens db name,href,count in 2007,lemma
de Jong,"Jong, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+jong&gba_naam=de+Jong&nfd_naam=Jong%2C+de&operator=rx&taal=,83782,"Jong, de"
Jansen,Jansen,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=jansen&gba_naam=Jansen&nfd_naam=Jansen&operator=rx&taal=,73533,Jansen
de Vries,"Vries, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+vries&gba_naam=de+Vries&nfd_naam=Vries%2C+de&operator=rx&taal=,71065,"Vries, de"
van den Berg,"Berg, van den",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+den+berg&gba_naam=van+den+Berg&nfd_naam=Berg%2C+van+de+%2F+den+%2F+der&operator=rx&taal=,57377,"Berg, van de / den / der"
van Dijk,"Dijk, van",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+dijk&gba_naam=van+Dijk&nfd_naam=Dijk%2C+van+%28y%29&operator=rx&taal=,56408,"Dijk, van (y)"
Bakker,Bakker,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=bakker&gba_naam=Bakker&nfd_naam=Bakker&operator=rx&taal=,55273,Bakker
Janssen,Janssen,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=janssen&gba_naam=Janssen&nfd_naam=Janssen&operator=rx&taal=,54040,Janssen
Visser,Visser,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=visser&gba_naam=Visser&nfd_naam=Visser&operator=rx&taal=,49525,Visser
Smit,Smit,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=smit&gba_naam=Smit&nfd_naam=Smit&operator=rx&taal=,42275,Smit
Meijer,Meijer,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=meijer&gba_naam=Meijer&nfd_naam=Meijer+%28y%29&operator=rx&taal=,38472,Meijer (y)
de Boer,"Boer, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+boer&gba_naam=de+Boer&nfd_naam=Boer%2C+de&operator=rx&taal=,38191,"Boer, de"
Mulder,Mulder,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=mulder&gba_naam=Mulder&nfd_naam=Mulder&operator=rx&taal=,36207,Mulder
de Groot,"Groot, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+groot&gba_naam=de+Groot&nfd_naam=Groot%2C+de&operator=rx&taal=,36032,"Groot, de"
Bos,Bos,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=bos&gba_naam=Bos&nfd_naam=Bos&operator=rx&taal=,35402,Bos
Vos,Vos,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=vos&gba_naam=Vos&nfd_naam=Vos&operator=rx&taal=,30279,Vos
Peters,Peters,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=peters&gba_naam=Peters&nfd_naam=Peters&operator=rx&taal=,30106,Peters
Hendriks,Hendriks,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=hendriks&gba_naam=Hendriks&nfd_naam=Hendriks&operator=rx&taal=,29492,Hendriks
Dekker,Dekker,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=dekker&gba_naam=Dekker&nfd_naam=Dekker&operator=rx&taal=,27946,Dekker
van Leeuwen,"Leeuwen, van",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+leeuwen&gba_naam=van+Leeuwen&nfd_naam=Leeuwen%2C+van&operator=rx&taal=,27819,"Leeuwen, van"
Brouwer,Brouwer,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=brouwer&gba_naam=Brouwer&nfd_naam=Brouwer&operator=rx&taal=,25419,Brouwer
de Wit,"Wit, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+wit&gba_naam=de+Wit&nfd_naam=Wit%2C+de&operator=rx&taal=,24055,"Wit, de"
Dijkstra,Dijkstra,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=dijkstra&gba_naam=Dijkstra&nfd_naam=Dijkstra+%28y%29&operator=rx&taal=,23510,Dijkstra (y)
Smits,Smits,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=smits&gba_naam=Smits&nfd_naam=Smits&operator=rx&taal=,23205,Smits
de Graaf,"Graaf, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+graaf&gba_naam=de+Graaf&nfd_naam=Graaf%2C+de&operator=rx&taal=,21004,"Graaf, de"
van der Meer,"Meer, van der",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+der+meer&gba_naam=van+der+Meer&nfd_naam=Meer%2C+van+de+%2F+der&operator=rx&taal=,20591,"Meer, van de / der"
Kok,Kok,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=kok&gba_naam=Kok&nfd_naam=Kok&operator=rx&taal=,20325,Kok
Jacobs,Jacobs,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=jacobs&gba_naam=Jacobs&nfd_naam=Jacobs&operator=rx&taal=,20148,Jacobs
van der Linden,"Linden, van der",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+der+linden&gba_naam=van+der+Linden&nfd_naam=Linden%2C+van+der&operator=rx&taal=,20132,"Linden, van der"
Vermeulen,Vermeulen,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=vermeulen&gba_naam=Vermeulen&nfd_naam=Vermeulen&operator=rx&taal=,20110,Vermeulen
de Haan,"Haan, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+haan&gba_naam=de+Haan&nfd_naam=Haan%2C+de&operator=rx&taal=,20011,"Haan, de"
van den Heuvel,"Heuvel, van den",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+den+heuvel&gba_naam=van+den+Heuvel&nfd_naam=Heuvel%2C+van+den&operator=rx&taal=,19899,"Heuvel, van den"
van den Broek,"Broek, van den",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+den+broek&gba_naam=van+den+Broek&nfd_naam=Broek%2C+van+de+%2F+den+%2F+der&operator=rx&taal=,18447,"Broek, van de / den / der"
van der Veen,"Veen, van der",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+der+veen&gba_naam=van+der+Veen&nfd_naam=Veen%2C+van+de+%2F+der&operator=rx&taal=,18366,"Veen, van de / der"
de Bruin,"Bruin, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+bruin&gba_naam=de+Bruin&nfd_naam=Bruin%2C+de&operator=rx&taal=,17593,"Bruin, de"
Schouten,Schouten,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=schouten&gba_naam=Schouten&nfd_naam=Schouten&operator=rx&taal=,17147,Schouten
van Beek,"Beek, van",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+beek&gba_naam=van+Beek&nfd_naam=Beek%2C+van&operator=rx&taal=,16708,"Beek, van"
van der Heijden,"Heijden, van der",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+der+heijden&gba_naam=van+der+Heijden&nfd_naam=Heijden%2C+van+der+%28y%29&operator=rx&taal=,16663,"Heijden, van der (y)"
de Bruijn,"Bruijn, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+bruijn&gba_naam=de+Bruijn&nfd_naam=Bruijn%2C+de+%28y%29&operator=rx&taal=,16562,"Bruijn, de (y)"
Willems,Willems,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=willems&gba_naam=Willems&nfd_naam=Willems&operator=rx&taal=,16508,Willems
van Vliet,"Vliet, van",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+vliet&gba_naam=van+Vliet&nfd_naam=Vliet%2C+van&operator=rx&taal=,16346,"Vliet, van"
Maas,Maas,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=maas&gba_naam=Maas&nfd_naam=Maas&operator=rx&taal=,15620,Maas
Hoekstra,Hoekstra,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=hoekstra&gba_naam=Hoekstra&nfd_naam=Hoekstra&operator=rx&taal=,15613,Hoekstra
Verhoeven,Verhoeven,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=verhoeven&gba_naam=Verhoeven&nfd_naam=Verhoeven&operator=rx&taal=,15525,Verhoeven
Koster,Koster,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=koster&gba_naam=Koster&nfd_naam=Koster&operator=rx&taal=,15346,Koster
van Dam,"Dam, van",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=van+dam&gba_naam=van+Dam&nfd_naam=Dam%2C+van&operator=rx&taal=,15288,"Dam, van"
Prins,Prins,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=prins&gba_naam=Prins&nfd_naam=Prins&operator=rx&taal=,14894,Prins
Huisman,Huisman,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=huisman&gba_naam=Huisman&nfd_naam=Huisman&operator=rx&taal=,14682,Huisman
Blom,Blom,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=blom&gba_naam=Blom&nfd_naam=Blom&operator=rx&taal=,14679,Blom
Peeters,Peeters,http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=peeters&gba_naam=Peeters&nfd_naam=Peeters&operator=rx&taal=,14054,Peeters
de Jonge,"Jonge, de",http://meertens.knaw.nl/nfb/detail_naam.php?gba_lcnaam=de+jonge&gba_naam=de+Jonge&nfd_naam=Jonge%2C+de&operator=rx&taal=,13989,"Jonge, de"
